id,name
2975,Laurence Fishburne
6384,Keanu Reeves
530,Carrie-Anne Moss
1331,Hugo Weaving
9364,Gloria Foster
532,Joe Pantoliano
43068,Sherrie Rose
1174401,Melissa Behr
18352,Patrick Dempsey
5950,Seymour Cassel
6465,Grace Zabriskie
5049,John Hurt
975,Nick Moran
35690,Shawn Wayans
79966,Claudia Karvan
3489,Naomi Watts
75738,Tom Long
92172,Aaron Jeffery
38784,Alice Garner
584382,Alana De Roma
69597,Drew Barrymore
68812,Ed Asner
198,Dan Castellaneta
12688,Peter MacNicol
3223,Robert Downey Jr.
1894,Scott Caan
43372,Stacy Edwards
240275,Allan Houston
12930,Gaby Hoffmann
975133,Wade Dominguez
19189,Elizabeth Berkley
19654,Michael Chiklis
68750,Robert Townsend
11514,Catherine O'Hara
98,Sarah Polley
9029,Stephen Rea
55155,Bernard Behrens
11150,Gina Gershon
51792,Rory Cochrane
21399,Ron Silver
389,Alison Eastwood
45396,Ross Partridge
5795,Leon Askin
44393,Martin Brambach
1205628,Alfons Haider
40224,Thomas Morris
12519,Virginia Madsen
64244,Greg Baker
14741,Philippe Bergeron
1546280,Dayna Danika
2778,Dennis Hopper
8949,Peter Fonda
8951,William Hayward
8963,Karen Black
418,Robert Patrick
209,Jane Adams
8349,Martin Sheen
38026,Chris Noth
46423,Olivia d'Abo
23958,Jeremy Sisto
83051,Eric Michael Cole
56824,Jaime Pressly
938771,D.J. Dierker
42641,Claire Skinner
7026,Rhys Ifans
42642,John Benfield
20243,Roger Ashton-Griffiths
3894,Christian Bale
58663,Daniel Benzali
9140,James Faulkner
140525,John O'Toole
8654,Matthew Modine
4452,Lisa Marie
6905,Bruce Dern
18181,David Keith
6968,Hugh Jackman
1184801,Angie Milliken
79695,Andrew S. Gilbert
3060,Jeanie Drynan
12206,Richard Roxburgh
10767,Barbara Hershey
33679,Emily Woof
28100,Simon Burke
51805,Kevin Anderson
4139,Tom Skerritt
58522,Kellie Overbey
31839,Ruben Santiago-Hudson
15009,Justin Theroux
15007,Laura Harring
15008,Ann Miller
5694,Robert Forster
1810,Heath Ledger
29092,Bryan Brown
9827,Rose Byrne
57795,David Field
15234,David Arquette
28640,Molly Shannon
15424,Michael Vartan
56731,Jessica Alba
3130,Jennifer Beals
91034,Desiree Casado
171613,Isabel Gillies
46394,Mel Gorham
1532,Bill Murray
54812,Chevy Chase
58198,Chris Farley
56159,Dana Carvey
12073,Mike Myers
5577,Chris O'Donnell
9137,Renée Zellweger
20788,Artie Lange
11066,Hal Holbrook
83414,Tim Conway
95100,Marie Osmond
73016,Debi Derryberry
21063,Pamela Adlon
9780,Angela Bassett
155,Lucas Black
1225964,Theodore Borders
2390,LeVar Burton
21731,Michael McKean
11074,Kathy Najimy
3010238,Rosslynn Taylor Jordan
4430,Sharon Stone
7420,Harvey Fierstein
71425,Melissa Etheridge
24047,Courtney B. Vance
9788,Regina King
1206,Jason Alexander
3391,Kathleen Turner
4764,John C. Reilly
886,William Fichtner
11084,Kelly McGillis
33533,David Rasche
5587,Hank Azaria
199,Julie Kavner
200,Nancy Cartwright
5586,Yeardley Smith
1062,Christopher Lloyd
2109,Kim Cattrall
6844,Dom DeLuise
67773,Steve Martin
776,Eddie Murphy
69122,Heather Graham
11870,Christine Baranski
6213,Jamie Kennedy
516,Annette Bening
18992,Aidan Quinn
925,Paul Guilfoyle
59222,George Newbern
97315,Neill Barry
8269,Suzanne Cryer
8540,Danny Nucci
19210,James Van Der Beek
20189,Amy Smart
10127,Jon Voight
8167,Paul Walker
77174,Ron Lester
30151,Leo Burmester
18658,Mia Kirshner
171522,Anthony Ruivivar
944717,Geoffrey Cantor
94516,Bonnie Root
10859,Ryan Reynolds
12021,Mia Farrow
39596,Tricia Vessey
880,Ben Affleck
1893,Casey Affleck
4169,Dave Chappelle
8695,Guillermo Díaz
15276,Angela Featherstone
8336,Tanya Allen
28410,Jake Busey
33654,Breckin Meyer
9205,Denise Richards
1058071,Bastián Bodenhöfer
191137,Elizabeth Rossa
39520,Garret Dillahunt
1043792,Lorene Prieto
1158,Al Pacino
6941,Cameron Diaz
6065,Dennis Quaid
4512,James Woods
134,Jamie Foxx
204111,Dorette Potgieter
16700,Greg Wise
29459,Patrick Bergin
1421349,Ana Alexander
1184628,David Dukas
22227,Christopher Meloni
33488,Helen Slater
7137,Juliet Landau
4253,Jon Polito
227,William Hurt
7906,Jennifer Tilly
5724,Denis Leary
1312995,Francesca Brown
85412,Olivier Gruner
32897,Nicholas Turturro
52300,Claudia Christian
8350,Sam Bottoms
6862,Freddy Rodríguez
591,Brion James
56117,Martin Kove
2464,Angus Macfadyen
6861,Andre Braugher
20959,Louis Gossett Jr.
54819,Rachael Crawford
16217,Lynn Whitfield
15899,Jenifer Lewis
13472,Tim Curry
140101,T.V. Blake
97260,Tangie Ambrose
2395,Whoopi Goldberg
7090,Kelsey Grammer
8263,Andrea Martin
2880,Emilio Estevez
6106,Steven Weber
47757,Kelly Rowan
156485,Leah Lail
154529,Lisa Robin Kelly
10431,Jennifer Jason Leigh
9642,Jude Law
65,Ian Holm
5293,Willem Dafoe
20173,Don McKellar
18082,Timothy Olyphant
3897,Katie Holmes
59284,Desmond Askew
12217,Jay Mohr
5376,Jean Smart
15900,Paul Dooley
5469,Ralph Fiennes
1231,Julianne Moore
79357,James Bolam
10985,Ian Hart
3085,James Caan
3036,John Cusack
93396,Jacob Tierney
1702438,Dermot Healy
74056,Brendan Coyle
33394,Maria Doyle Kennedy
1667536,Jake Williams
55152,Campbell Scott
55153,Fiona Loewi
16857,Tom Everett Scott
44208,Nigel Bennett
55154,Hardee T. Lineham
84021,Paul Gross
1481176,William Dunlop
32031,Stephen Bogaert
1481020,Gary Krawford
