report_id,subject,transport_mode,detection
MOR25245,6 tusks (25kg) seized in Libreville - 1 convicted,Land - Vehicle,Intelligence
MOR25666,"77kg of sandalwood at the Chhatrapati Shivaji Maharaj International Airport, one Sudanese national",Air,X-ray
MOR25667,"10kg sandalwood chips seized at Chhatrapati Shivaji Maharaj International Airport, one suspect",Air,Routine Inspection
MOR25672,"3 elephants tails, 1 ivory piece & 1 python sebbae skin seized in Sibiti, Republic of Congo - 1 arrested",,Operation
MOR25673,"6.4 kg of sandalwood at Indira Gandhi International Airport, one Chinese national arrested",Air,X-ray
MOR25674,"100 ivory pieces seized at Newcastle Street, Windhoek - 2 arrested",,Test Purchase
MOR25675,"1 dead pangolin & 1 skin seized in Goreangap, Windhoek - 1 suspect arrested",,Operation
MOR25686,"148 pieces of hornbill ivory, feathers, pangolins scales and other widllife seized in Kapit, 1 arrested",,Operation
MOR25720,"Live reptiles seized at Chennai International Airport, two suspects arrested",Air,Targeting
MOR25775,Seven containers of kevazingo seized in Bata- Equatorial Guinea,,
MOR25777,7 falcons seized in Kohat and Dera Ismail Khan,,Operation
MOR25798,"5 live Javan pangolins (32.7kg) seized in Tan Lien, Quang Tri - 1 arrested, 1 absconded",Land - Vehicle,Routine Inspection
MOR25799,"1 ivory bangle (60g) seized at Jomo Kenyatta Airport, Kenya - 1 Chinese national arrested",Air,Routine Inspection
MOR25801,"27 kilograms of dried shark fin seized in Hong Kong International Airport from DRC, One 40-year-old male passenger arrested",Air,Routine Inspection
MOR25806,"14kg of agarwood seized in Quezon City, PH - 3 individuals (1 Chinese) arrested",,Test Purchase
MOR25807,Animals seized from a farm in Sibu district,,
MOR25814,13 parrots seized at Indira Gandhi International Airport - 1 arrested,Air,X-ray
MOR25815,"1 tiger skin, 110 tiger bones and 1 skull seized in Jalpaiguri, West Bengal - 2 arrested",,Intelligence
MOR25817,3 tusks seized in Ivory Coast - 3 people arrested,,Operation
MOR25818,7 ivory pieces (21 kg) seizured Dhaka Shopping Centre - 3 arrested,,Intelligence
MOR25940,2 tusks (in 4 pieces) seized in Makokou - 3 nationals convicted,,Operation
MOR25943,buffalo meat seized in Ngoma - 2 arrested,,Operation
MOR25947,"2 kudu horns, 7 kudu hides & civet skin seized in Divundu - 1 arrested",,Other
MOR25948,4 warthog carcasses seized in Zambezi Region - 6 Zambian nationals arrested,,
MOR25950,4 tusks at Rundu - 2 nationals arrested,Land - Vehicle,Operation
MOR25970,108 birds meant to be sent to China seized at Kualanamu airport - 3 people arrested,Air,X-ray
MOR26026,"1 pangolin & 6 tusks seized in Chigano, Manicaland  – 2 charged",,Intelligence
MOR26040,"53kg of dried seahorses seized at Mactan Cebu International Airport, three Chinese nationals fined",Air,
MOR26058,"11 tarantulas and 5 pythons seized in Barangay Tumana, Markina - 1 arrested",,Test Purchase
MOR26393,"5 pangolins and 1 Bourret’s Box Turtle seized in Dai Dong, Quang Nam, 1 suspect",,Operation
MOR27281,0.254kg of pangolin scales and 0.913kg of pangolin scale powder seized at Chengdu Shuangliu International Airport,Air,
MOR27413,1 ivory carving (0.0303kg) seized at Lanzhou Zhongchuan Airport,Air,
MOR27416,"211 sea cucumbers seized at Tiruchy International Airport, one suspect",Air,Targeting
MOR27419,"0.470kg of eggs, squid meat and other food items seized at Sydney Airport, one woman deported",Air,
MOR27420,"32 animal products including skins and horns seized at Chengdu Shuangliu Airport, three Chinese suspects",Air,X-ray
MOR27422,"One ivory bracelet weighing 0.034kg seized at Chengdu Shuangliu Airport, one suspect",Air,
MOR27710,"2 tusks (31kg) seized in Nkhotakota, 1 suspect later arrested",,Intelligence
MOR28147,"17.6kg of ivory seized in Binh Dinh, one suspect",Land - Vehicle,Routine Inspection
MOR28151,0.052kg of ivory seized at Zhongshan Port,,X-ray
MOR28242,1 ivory bracelet (0.047kg) seized in Dandong,Land - Train,Routine Inspection
