report_id,category,date
MOR18304,1. Seizure,2017-04-30
MOR32059,1. Seizure,2020-12-01
MOR54725,1. Seizure,2017-05-15
MOR3254,1. Seizure,2015-10-08
MOR37195,2. Poaching / Illegal Harvesting,2021-03-23
MOR44374,9. Enforcement Action / Prosecution,2021-02-24
MOR14155,1. Seizure,2018-03-01
MOR41563,1. Seizure,2016-03-05
MOR32171,2. Poaching / Illegal Harvesting,2021-01-01
MOR12002,9. Enforcement Action / Prosecution,2017-09-01
MOR39248,1. Seizure,2021-10-01
MOR30568,1. Seizure,2019-12-02
MOR10096,1. Seizure,2017-09-06
MOR35099,1. Seizure,2016-10-14
MOR44186,1. Seizure,2022-06-07
MOR13365,1. Seizure,2017-12-20
MOR38060,1. Seizure,2021-09-01
MOR35441,1. Seizure,2021-03-12
MOR15064,2. Poaching / Illegal Harvesting,2016-12-15
MOR30748,1. Seizure,2020-07-08
MOR49344,1. Seizure,2022-11-01
MOR12835,1. Seizure,2017-07-24
MOR19021,1. Seizure,2019-03-26
MOR42453,1. Seizure,2022-01-16
MOR17966,1. Seizure,2016-11-19
MOR35602,1. Seizure,2021-05-01
MOR33871,1. Seizure,2021-01-31
MOR30840,1. Seizure,2020-01-07
MOR26584,2. Poaching / Illegal Harvesting,2016-01-01
MOR51222,1. Seizure,2023-09-10
MOR12850,1. Seizure,2017-12-27
MOR34935,1. Seizure,2021-04-27
MOR43964,1. Seizure,2021-10-01
MOR29637,9. Enforcement Action / Prosecution,2015-04-13
MOR33189,1. Seizure,2021-01-27
MOR12148,1. Seizure,2017-08-02
MOR2884,1. Seizure,2015-04-07
MOR35092,1. Seizure,2016-01-07
MOR8013,1. Seizure,2017-01-13
MOR22442,1. Seizure,2015-11-13
MOR18256,1. Seizure,2018-12-20
MOR29017,1. Seizure,2018-07-01
MOR10853,5. Animal Injury / Mortality / Welfare,2016-06-28
MOR11460,1. Seizure,2017-11-07
MOR44954,1. Seizure,2016-03-31
MOR49612,9. Enforcement Action / Prosecution,2023-05-25
MOR5017,1. Seizure,2016-05-11
MOR33689,1. Seizure,2020-03-05
MOR12375,1. Seizure,2018-01-20
MOR40970,1. Seizure,2022-01-09
MOR10222,1. Seizure,2017-01-16
MOR26682,9. Enforcement Action / Prosecution,2017-01-01
MOR4300,9. Enforcement Action / Prosecution,2016-03-31
MOR9876,9. Enforcement Action / Prosecution,2017-08-01
MOR37321,1. Seizure,2021-05-01
MOR45028,1. Seizure,2022-01-01
MOR52040,1. Seizure,2023-05-22
MOR36381,1. Seizure,2021-06-01
MOR45808,1. Seizure,2022-06-01
MOR10200,1. Seizure,2017-09-17
MOR19014,1. Seizure,2019-03-16
MOR25365,1. Seizure,2015-12-16
MOR31392,1. Seizure,2020-04-01
MOR31631,1. Seizure,2019-03-28
MOR30277,1. Seizure,2020-05-12
MOR42381,1. Seizure,2022-02-25
MOR39841,1. Seizure,2021-11-13
MOR10056,1. Seizure,2017-08-29
MOR12084,1. Seizure,2017-09-06
MOR27960,1. Seizure,2020-01-20
MOR36658,1. Seizure,2021-06-01
MOR36597,1. Seizure,2017-01-07
MOR25959,2. Poaching / Illegal Harvesting,2015-10-18
MOR36324,2. Poaching / Illegal Harvesting,2021-01-11
MOR52110,1. Seizure,2023-08-19
MOR50587,1. Seizure,2023-07-13
MOR27637,1. Seizure,2019-04-25
MOR30266,1. Seizure,2020-08-22
MOR44094,1. Seizure,2021-09-18
MOR44308,1. Seizure,2021-06-03
MOR55343,1. Seizure,2024-01-10
MOR15435,1. Seizure,2018-05-12
MOR41743,1. Seizure,2015-07-03
MOR3192,1. Seizure,2015-09-10
MOR38140,1. Seizure,2021-09-12
MOR48357,1. Seizure,2023-01-10
MOR5724,1. Seizure,2016-03-01
MOR33358,1. Seizure,2021-02-28
MOR39193,1. Seizure,2021-05-26
MOR28412,1. Seizure,2019-05-30
MOR31580,1. Seizure,2020-12-01
MOR39045,1. Seizure,2021-10-01
MOR28311,1. Seizure,2019-09-12
MOR14000,1. Seizure,2017-11-01
MOR6753,1. Seizure,2016-09-14
MOR26442,1. Seizure,2019-10-23
MOR15004,1. Seizure,2018-06-09
MOR28113,1. Seizure,2019-09-01
MOR27318,1. Seizure,2019-05-15
MOR27363,1. Seizure,2019-07-08
MOR47590,1. Seizure,2022-10-25
MOR14227,1. Seizure,2017-01-20
MOR35058,1. Seizure,2021-04-24
MOR43352,1. Seizure,2022-03-16
MOR55751,1. Seizure,2023-11-22
MOR52171,1. Seizure,2022-02-26
MOR55330,1. Seizure,2023-12-11
MOR27915,1. Seizure,2019-05-01
MOR28716,1. Seizure,2018-08-01
MOR49829,1. Seizure,2023-03-20
MOR12076,1. Seizure,2017-08-25
MOR34933,1. Seizure,2021-04-24
MOR26595,1. Seizure,2015-10-06
MOR10033,1. Seizure,2015-08-05
MOR29758,9. Enforcement Action / Prosecution,2017-07-01
MOR40642,1. Seizure,2022-01-05
MOR51405,1. Seizure,2016-03-15
MOR28287,1. Seizure,2020-01-21
MOR19349,1. Seizure,2019-03-01
MOR42992,1. Seizure,2022-02-26
MOR31582,1. Seizure,2018-10-01
MOR10018,1. Seizure,2017-08-04
MOR44969,1. Seizure,2022-06-16
MOR38765,1. Seizure,2021-10-01
MOR34330,1. Seizure,2019-11-01
MOR39586,1. Seizure,2021-09-13
MOR26061,1. Seizure,2016-01-01
MOR33244,1. Seizure,2021-02-01
MOR30534,1. Seizure,2020-05-08
MOR44803,1. Seizure,2022-05-17
MOR10863,2. Poaching / Illegal Harvesting,2017-02-25
MOR35400,1. Seizure,2017-12-06
MOR48383,1. Seizure,2021-12-10
MOR47040,1. Seizure,2022-10-18
MOR25787,1. Seizure,2016-10-21
MOR42411,1. Seizure,2022-01-01
MOR31816,1. Seizure,2016-07-03
MOR18921,1. Seizure,2018-07-08
MOR8807,9. Enforcement Action / Prosecution,2017-04-24
MOR49345,1. Seizure,2022-07-01
MOR29688,1. Seizure,2015-12-24
MOR14457,1. Seizure,2018-07-07
MOR35434,1. Seizure,2021-03-01
MOR36351,1. Seizure,2021-04-23
MOR52366,1. Seizure,2023-08-10
MOR41766,1. Seizure,2016-10-01
MOR14370,1. Seizure,2015-12-02
MOR41668,2. Poaching / Illegal Harvesting,2015-02-13
MOR34363,1. Seizure,2017-01-01
MOR37381,1. Seizure,2021-06-09
MOR17916,1. Seizure,2018-07-02
MOR30758,1. Seizure,2018-12-01
MOR25643,1. Seizure,2018-12-06
MOR31615,1. Seizure,2018-02-28
MOR54804,1. Seizure,2015-05-01
MOR28524,1. Seizure,2019-01-01
MOR11276,1. Seizure,2015-05-10
MOR28898,1. Seizure,2018-09-01
MOR55652,1. Seizure,2024-02-07
MOR55339,1. Seizure,2024-01-06
MOR11461,1. Seizure,2017-11-07
MOR44833,1. Seizure,2022-06-29
MOR11677,1. Seizure,2017-07-06
MOR15480,1. Seizure,2015-01-03
MOR17925,1. Seizure,2018-07-11
MOR20837,1. Seizure,2019-01-30
MOR32586,1. Seizure,2020-07-31
MOR52025,1. Seizure,2023-06-01
MOR10077,1. Seizure,2015-01-24
MOR10208,1. Seizure,2017-05-03
MOR33410,1. Seizure,2021-03-01
MOR8143,1. Seizure,2017-03-14
MOR10914,1. Seizure,2015-12-16
MOR15060,1. Seizure,2018-06-01
MOR52104,1. Seizure,2023-10-03
MOR33531,1. Seizure,2020-07-16
MOR29302,1. Seizure,2018-03-08
MOR54519,1. Seizure,2024-01-16
MOR35326,1. Seizure,2021-04-05
MOR32043,1. Seizure,2020-12-08
MOR26021,1. Seizure,2019-09-03
MOR10098,2. Poaching / Illegal Harvesting,2016-03-17
MOR10074,1. Seizure,2016-05-24
MOR37092,1. Seizure,2021-07-20
MOR48756,2. Poaching / Illegal Harvesting,2021-10-01
MOR31147,1. Seizure,2020-11-01
MOR15938,1. Seizure,2018-08-12
MOR18944,1. Seizure,2019-03-22
MOR31766,1. Seizure,2020-12-15
MOR32115,2. Poaching / Illegal Harvesting,2021-01-12
MOR33779,1. Seizure,2021-03-01
MOR26508,1. Seizure,2019-06-01
MOR42891,1. Seizure,2022-04-14
MOR28681,1. Seizure,2019-09-07
MOR28686,1. Seizure,2019-11-04
MOR27479,1. Seizure,2019-11-29
MOR36711,1. Seizure,2021-06-24
MOR42390,1. Seizure,2022-01-20
MOR27966,1. Seizure,2020-02-01
MOR36349,1. Seizure,2021-06-14
MOR50850,1. Seizure,2021-09-07
MOR44028,1. Seizure,2022-01-14
MOR4168,1. Seizure,2016-01-05
MOR31946,1. Seizure,2020-02-15
MOR42130,1. Seizure,2021-11-16
MOR45159,1. Seizure,2021-08-08
MOR54387,1. Seizure,2016-11-19
MOR52276,1. Seizure,2022-09-27
MOR33838,1. Seizure,2020-02-01
MOR25569,1. Seizure,2018-02-11
MOR42127,1. Seizure,2021-11-01
MOR34240,1. Seizure,2019-10-14
MOR25601,1. Seizure,2018-08-06
MOR14364,1. Seizure,2017-09-06
MOR26232,1. Seizure,2018-11-01
MOR27456,1. Seizure,2019-01-31
MOR28413,1. Seizure,2019-06-01
MOR15587,1. Seizure,2016-03-23
MOR54724,1. Seizure,2024-01-11
MOR56135,1. Seizure,2016-03-23
MOR30206,1. Seizure,2019-08-15
MOR45197,1. Seizure,2021-04-05
MOR28683,1. Seizure,2019-11-04
MOR31573,1. Seizure,2020-01-06
MOR39605,1. Seizure,2021-08-27
MOR28560,1. Seizure,2018-05-01
MOR35177,1. Seizure,2021-04-01
MOR33555,1. Seizure,2021-03-03
MOR50520,1. Seizure,2021-11-07
MOR49927,1. Seizure,2022-12-10
MOR51874,1. Seizure,2023-10-09
MOR12158,1. Seizure,2017-09-15
MOR30508,1. Seizure,2020-06-22
MOR9958,1. Seizure,2016-07-25
MOR25869,1. Seizure,2016-08-28
MOR15208,1. Seizure,2016-06-29
MOR33642,1. Seizure,2020-01-31
MOR53554,1. Seizure,2023-11-21
MOR4333,5. Animal Injury / Mortality / Welfare,2016-03-28
MOR26825,1. Seizure,2016-09-12
MOR11259,1. Seizure,2015-08-17
MOR15914,1. Seizure,2017-12-19
MOR37210,1. Seizure,2021-05-27
MOR26616,2. Poaching / Illegal Harvesting,2016-08-19
MOR5789,1. Seizure,2015-12-07
MOR14282,1. Seizure,2015-12-18
MOR25810,1. Seizure,2015-04-22
MOR32563,1. Seizure,2016-08-31
MOR25641,1. Seizure,2018-12-01
MOR48129,1. Seizure,2022-12-01
MOR39883,1. Seizure,2021-05-22
MOR7121,1. Seizure,2015-11-12
MOR45123,1. Seizure,2022-06-01
MOR50985,1. Seizure,2022-01-01
MOR42192,1. Seizure,2021-10-29
MOR8186,1. Seizure,2017-01-23
MOR35857,1. Seizure,2015-06-24
MOR28856,1. Seizure,2020-06-04
MOR52133,1. Seizure,2022-08-27
MOR30513,1. Seizure,2020-05-19
MOR28346,1. Seizure,2019-03-18
MOR19233,1. Seizure,2019-01-01
MOR36455,2. Poaching / Illegal Harvesting,2017-06-01
MOR39946,1. Seizure,2021-10-11
MOR19464,1. Seizure,2018-11-04
MOR38652,1. Seizure,2021-09-30
MOR42188,1. Seizure,2022-01-01
MOR25356,1. Seizure,2015-11-14
MOR20628,1. Seizure,2015-06-01
MOR15935,1. Seizure,2018-05-19
MOR45031,1. Seizure,2021-12-01
MOR28794,1. Seizure,2020-05-20
MOR27278,1. Seizure,2019-04-01
MOR36796,1. Seizure,2015-02-02
MOR21004,1. Seizure,2019-05-01
MOR49672,1. Seizure,2023-06-01
MOR26685,2. Poaching / Illegal Harvesting,2016-04-26
MOR20816,1. Seizure,2019-01-11
MOR33537,1. Seizure,2020-07-01
MOR38767,1. Seizure,2021-09-15
MOR47922,2. Poaching / Illegal Harvesting,2022-03-09
MOR26515,1. Seizure,2019-01-20
MOR50955,1. Seizure,2022-11-01
MOR44827,1. Seizure,2022-06-01
MOR5582,1. Seizure,2016-07-19
MOR34028,1. Seizure,2021-03-08
MOR29229,1. Seizure,2020-07-04
MOR20993,1. Seizure,2019-05-05
MOR37923,1. Seizure,2021-07-15
MOR32157,1. Seizure,2020-12-04
MOR44088,1. Seizure,2021-09-30
MOR48331,1. Seizure,2016-01-09
MOR35871,1. Seizure,2015-10-02
MOR32611,1. Seizure,2020-07-13
MOR49381,2. Poaching / Illegal Harvesting,2021-05-05
MOR36527,1. Seizure,2015-09-16
MOR43756,1. Seizure,2022-03-20
MOR54508,1. Seizure,2023-11-01
MOR9875,1. Seizure,2017-08-13
MOR31632,1. Seizure,2019-02-11
MOR13397,1. Seizure,2017-12-17
MOR25195,1. Seizure,2019-04-26
MOR27397,1. Seizure,2017-11-01
MOR30639,1. Seizure,2020-03-01
MOR13013,1. Seizure,2016-10-31
MOR14895,1. Seizure,2016-05-26
MOR11367,1. Seizure,2016-01-09
MOR18899,1. Seizure,2016-10-13
MOR30069,1. Seizure,2020-08-24
MOR37442,1. Seizure,2021-07-30
MOR39927,1. Seizure,2017-03-01
MOR31961,1. Seizure,2021-01-03
MOR15653,1. Seizure,2018-06-04
MOR39823,1. Seizure,2017-02-23
MOR10835,1. Seizure,2017-06-01
MOR43540,1. Seizure,2021-12-25
MOR33938,1. Seizure,2020-01-10
MOR52108,1. Seizure,2023-07-01
MOR34483,1. Seizure,2020-02-01
MOR52185,1. Seizure,2022-09-25
MOR37276,1. Seizure,2021-01-13
MOR14166,1. Seizure,2018-02-20
MOR13820,1. Seizure,2017-09-29
MOR49565,9. Enforcement Action / Prosecution,2022-09-01
MOR21170,1. Seizure,2019-05-30
MOR53307,1. Seizure,2023-11-04
MOR31584,1. Seizure,2019-05-11
MOR42956,1. Seizure,2022-04-20
MOR13916,1. Seizure,2018-05-19
MOR18853,1. Seizure,2019-03-16
MOR33947,1. Seizure,2020-01-01
MOR11782,1. Seizure,2016-12-20
MOR4196,1. Seizure,2016-03-16
MOR37324,1. Seizure,2021-04-26
MOR43937,2. Poaching / Illegal Harvesting,2021-04-06
MOR28997,1. Seizure,2020-05-26
MOR4365,1. Seizure,2016-03-30
MOR35933,1. Seizure,2015-07-23
MOR32160,1. Seizure,2020-10-23
MOR15886,1. Seizure,2018-09-05
MOR42316,1. Seizure,2022-03-12
MOR31505,1. Seizure,2020-07-09
MOR28941,1. Seizure,2018-02-01
MOR29010,1. Seizure,2018-12-16
MOR4127,1. Seizure,2016-02-23
MOR15013,1. Seizure,2018-07-18
MOR51028,1. Seizure,2022-06-01
MOR25353,1. Seizure,2015-11-05
MOR19456,1. Seizure,2015-02-01
MOR30085,1. Seizure,2020-03-01
MOR46294,9. Enforcement Action / Prosecution,2015-01-12
MOR34487,1. Seizure,2020-03-07
MOR28407,1. Seizure,2019-05-23
MOR31248,1. Seizure,2020-03-01
MOR26577,2. Poaching / Illegal Harvesting,2016-02-03
MOR30551,1. Seizure,2020-05-26
MOR48398,1. Seizure,2022-11-01
MOR39995,1. Seizure,2015-12-24
MOR32894,1. Seizure,2021-02-03
MOR26327,1. Seizure,2018-12-05
MOR28909,1. Seizure,2020-06-12
MOR10110,1. Seizure,2017-09-09
MOR4787,1. Seizure,2016-04-25
MOR34346,1. Seizure,2019-11-01
MOR35955,1. Seizure,2016-06-03
MOR25620,1. Seizure,2018-09-28
MOR54678,1. Seizure,2024-01-10
MOR44960,9. Enforcement Action / Prosecution,2022-06-25
MOR18477,1. Seizure,2018-11-15
MOR5692,6. Human-Wildlife Conflict,2016-07-27
MOR15270,1. Seizure,2017-06-22
MOR52437,1. Seizure,2023-04-12
MOR13986,1. Seizure,2018-02-01
MOR51224,1. Seizure,2023-09-11
MOR28729,1. Seizure,2016-06-16
MOR14786,5. Animal Injury / Mortality / Welfare,2016-03-28
MOR32577,1. Seizure,2020-08-18
MOR30794,1. Seizure,2020-10-01
MOR46935,9. Enforcement Action / Prosecution,2017-05-31
MOR54035,1. Seizure,2023-11-25
MOR37234,1. Seizure,2021-07-06
MOR48922,1. Seizure,2021-03-01
MOR42988,2. Poaching / Illegal Harvesting,2022-04-24
MOR35850,1. Seizure,2015-04-16
MOR44019,1. Seizure,2022-01-21
MOR21034,3. Smuggling / Illegal Trade (not elsewhere included),2016-11-01
MOR35323,1. Seizure,2021-04-20
MOR25299,1. Seizure,2015-03-31
MOR19341,1. Seizure,2019-02-22
MOR18574,1. Seizure,2016-10-27
MOR13777,1. Seizure,2016-01-29
MOR30546,1. Seizure,2020-05-28
MOR30767,1. Seizure,2017-01-28
MOR15173,1. Seizure,2015-08-30
MOR33386,1. Seizure,2020-09-01
MOR15213,1. Seizure,2016-07-18
MOR6737,1. Seizure,2016-08-08
MOR41572,1. Seizure,2021-10-01
MOR42236,1. Seizure,2017-04-01
MOR37608,2. Poaching / Illegal Harvesting,2021-08-13
MOR11622,1. Seizure,2017-11-09
MOR27737,1. Seizure,2019-12-23
MOR31817,1. Seizure,2016-06-30
MOR26228,1. Seizure,2019-01-24
