report_id,outcome,num_ppl_fined,fine,num_ppl_arrested,prison_time,prison_time_unit
MOR39130,Arrest,0,0.0,1,0.0,N/A
MOR30567,Conviction - imprisonment,0,0.0,0,1.0,Years
MOR13032,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR25190,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR27630,Confiscation,0,0.0,0,0.0,N/A
MOR49515,Confiscation,0,0.0,0,0.0,N/A
MOR27440,Confiscation,0,0.0,0,0.0,N/A
MOR15327,Charged - Pending court case,0,0.0,2,0.0,N/A
MOR49159,Confiscation & arrest,0,0.0,3,0.0,N/A
MOR15642,Investigation ongoing,0,0.0,0,0.0,N/A
MOR14880,Confiscation,0,0.0,0,0.0,N/A
MOR35853,Confiscation,0,0.0,0,0.0,N/A
MOR25338,Confiscation,0,0.0,0,0.0,N/A
MOR50133,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR8101,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR25295,Confiscation,0,0.0,0,0.0,N/A
MOR26618,Charged - No further details,0,0.0,6,0.0,N/A
MOR39819,Confiscation,0,0.0,0,0.0,N/A
MOR25950,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR41301,No details given,0,0.0,0,0.0,N/A
MOR42425,Charged - No further details,0,0.0,3,0.0,N/A
MOR48763,Conviction - imprisonment,0,0.0,1,12.0,Months
MOR44927,Confiscation,0,0.0,0,0.0,N/A
MOR15194,Charged - Pending court case,0,0.0,1,0.0,N/A
MOR45787,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR36381,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR50024,Confiscation & arrest,0,0.0,7,0.0,N/A
MOR25783,Conviction - court fine & imprisonment,1,1476.04,0,9.0,Years
MOR28534,Confiscation,0,0.0,0,0.0,N/A
MOR52361,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR8729,Confiscation,0,0.0,0,0.0,N/A
MOR45147,Charged - Bail granted,0,0.0,3,0.0,N/A
MOR23660,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR31827,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR28840,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR43505,Confiscation,0,0.0,0,0.0,N/A
MOR26816,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR15510,Charged - Pending court case,0,0.0,0,0.0,N/A
MOR25860,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR6738,Confiscation,0,0.0,0,0.0,N/A
MOR29738,Confiscation,0,0.0,0,0.0,N/A
MOR31607,Confiscation,0,0.0,0,0.0,N/A
MOR36049,Confiscation,0,0.0,0,0.0,N/A
MOR29912,Police fine/Penalty notice,1,214.60299682617,0,0.0,N/A
MOR49197,Confiscation & arrest,0,0.0,4,0.0,N/A
MOR16259,Confiscation,0,0.0,0,0.0,N/A
MOR12209,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR36549,Confiscation & arrest,0,0.0,3,0.0,N/A
MOR13800,Confiscation,0,0.0,0,0.0,N/A
MOR42052,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR13272,Confiscation,0,0.0,0,0.0,N/A
MOR17177,Confiscation,0,0.0,0,0.0,N/A
MOR48888,No details given,0,0.0,0,0.0,N/A
MOR35922,Confiscation,0,0.0,0,0.0,N/A
MOR9230,Charged - No further details,0,0.0,0,0.0,N/A
MOR12651,Confiscation,0,0.0,0,0.0,N/A
MOR43512,Confiscation,0,0.0,0,0.0,N/A
MOR49335,Confiscation,0,0.0,0,0.0,N/A
MOR15008,Confiscation,0,0.0,0,0.0,N/A
MOR39898,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR48536,Confiscation & arrest,0,0.0,3,0.0,N/A
MOR50021,Confiscation,0,0.0,0,0.0,N/A
MOR37532,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR33696,Charged - No further details,0,0.0,0,0.0,N/A
MOR14385,Confiscation,0,0.0,0,0.0,N/A
MOR28404,Confiscation,0,0.0,0,0.0,N/A
MOR52306,Confiscation & arrest,0,0.0,3,0.0,N/A
MOR36472,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR43923,No details given,0,0.0,0,0.0,N/A
MOR45288,Confiscation & arrest,0,0.0,3,0.0,N/A
MOR43517,Confiscation & arrest,0,0.0,3,0.0,N/A
MOR29641,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR35945,Police fine/Penalty notice,1,150.0,0,0.0,N/A
MOR31297,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR13994,Charged - No further details,0,0.0,0,0.0,N/A
MOR36888,Confiscation,0,0.0,0,0.0,N/A
MOR33253,Confiscation,0,0.0,0,0.0,N/A
MOR36382,Confiscation,0,0.0,0,0.0,N/A
MOR27272,Confiscation,0,0.0,0,0.0,N/A
MOR25762,Police fine/Penalty notice,1,429.63800048827994,0,0.0,N/A
MOR29358,Charged - Bail granted,0,0.0,0,0.0,N/A
MOR32916,Charged - No further details,0,0.0,3,0.0,N/A
MOR34640,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR8145,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR14645,Confiscation,0,0.0,0,0.0,N/A
MOR31283,Conviction - court fine,1,3534.0,1,0.0,N/A
MOR49131,Confiscation,0,0.0,0,0.0,N/A
MOR3220,Confiscation & arrest,0,0.0,3,0.0,N/A
MOR20636,Charged - Bail granted,0,0.0,0,0.0,N/A
MOR36615,Confiscation,0,0.0,0,0.0,N/A
MOR33970,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR5288,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR37127,Confiscation,0,0.0,0,0.0,N/A
MOR47440,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR51405,Confiscation,0,0.0,0,0.0,N/A
MOR15565,Conviction,0,0.0,2,0.0,N/A
MOR40995,Charged - Bail granted,0,0.0,1,0.0,N/A
MOR30699,Confiscation & arrest,0,148.768,0,0.0,N/A
MOR43383,Confiscation,0,0.0,0,0.0,N/A
MOR36807,Conviction - imprisonment,0,0.0,0,0.0,N/A
MOR35183,Confiscation,0,0.0,0,0.0,N/A
MOR8269,Confiscation,0,0.0,0,0.0,N/A
MOR20720,Charged - No further details,0,0.0,0,0.0,N/A
MOR44229,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR52442,Confiscation & arrest,0,0.0,3,0.0,N/A
MOR15846,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR39820,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR32234,Charged - No further details,0,0.0,1,0.0,N/A
MOR4919,Confiscation & arrest,0,0.0,5,0.0,N/A
MOR15503,Charged - Pending court case,0,0.0,0,0.0,N/A
MOR36501,Confiscation & arrest,0,0.0,3,0.0,N/A
MOR43374,Confiscation,0,0.0,0,0.0,N/A
MOR44359,No further action,0,0.0,0,0.0,N/A
MOR1160,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR48046,Confiscation & arrest,0,0.0,3,0.0,N/A
MOR40932,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR37764,Charged - No further details,0,0.0,1,0.0,N/A
MOR4904,Conviction - court fine & imprisonment,1,3795.01,1,9.3,Months
MOR5465,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR52934,Confiscation,0,0.0,0,0.0,N/A
MOR14031,Confiscation,0,0.0,0,0.0,N/A
MOR39256,Charged - No further details,0,0.0,2,0.0,N/A
MOR14313,Conviction - court fine & imprisonment,6,260.81500244141,0,18.0,Months
MOR51934,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR33540,Charged - No further details,0,0.0,0,0.0,N/A
MOR45039,Charged - Pending court case,0,0.0,2,0.0,N/A
MOR50050,Confiscation,0,0.0,0,0.0,N/A
MOR12147,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR43915,Confiscation,0,0.0,0,0.0,N/A
MOR39837,Confiscation,0,0.0,0,0.0,N/A
MOR10050,Conviction - imprisonment,0,0.0,1,6.0,Months
MOR15494,Charged - Pending court case,0,0.0,0,0.0,N/A
MOR25593,Confiscation,0,0.0,0,0.0,N/A
MOR27423,Confiscation,0,0.0,0,0.0,N/A
MOR36416,Confiscation,0,0.0,0,0.0,N/A
MOR28341,Conviction - court fine,0,0.0,0,5.0,Years
