species,count
Elephants,3164
Pangolins,856
Rhinoceroses,827
Leopard,725
Tiger,668
Agaru,403
Tortoise,274
Lion,259
Teak,208
Sea Cucumber,170
Bears,137
Abalone,124
Black Bear,100
Pythons,92
Softshell Turtle,92
Amazons,90
Cheetah,90
Sumatran Tiger,87
MacDonald's Weakfish,86
Wild Boar,86
Green Turtle,85
Leopard Cat,81
Apes,80
Thnong,79
Hawksbill Turtle,76
Bengal Tiger,68
Crocodile,67
Stony Corals,66
Malayan Sun Bear,65
Box Turtle,64
Hippopotamus,62
Cocodrilos,60
Marine Turtles,58
Common eel,56
Chimpanzee,55
Wildebeests,55
Seedeater,54
Grey Parrot,52
Parakeet,52
Alligators,50
Medicinal Leech,50
White-rumped Shama,49
Siberian Tiger,47
Black Pond Turtle,44
Giant Clams,44
Giant Ground Pangolin,42
Oriental Magpie-Robin,42
Crab-eating Macaque,40
South African abalone,40
Tokay Gecko,40
Ironwood of Burma,39
Arapaima,38
Blunt-tailed Sand Boa,37
Impala,37
Jaguar,37
Chital,36
Meranti,36
Asian Palm Civet,35
Common Iguana,35
Hawks,35
Muntjac,35
Helmeted Hornbill,34
Ampalagua,33
Lizards,32
Ball Python,31
Clouded Leopard,31
Common Hill Myna,31
Saffron Finch,31
Alexandrine Parakeet,30
Burmese python,30
Cedar,30
Plains Zebra,30
Porcupine,30
African buffalo,29
Hawk-Eagle,29
Leaf Monkey,29
Sambar,29
Hamadryad,28
Ounce,28
Common Wolf,27
Indian Pangolin,27
Lesser Sulphur-crested Cockatoo,27
Dik-diks,26
Bear Macaque,25
Cats,25
Common Peafowl,25
Three-cusped Pangolin,25
Mainland Serow,24
Bornean Orangutan,23
Greater One-horned Rhinoceros,23
Buho,22
Olive Ridley,22
Yellow-crowned Amazon,22
Asian Golden Cat,21
Blackbuck,21
Elk,21
Indian Muntjac,21
Oriental Small-clawed Otter,21
Cape rock lobster,20
Dolphins,20
Sturgeons,20
Big-Headed Turtle,19
Cachalot,19
Eclectus Parrot,19
Frogs,19
Masked Palm Civet,19
Red Fox,19
African Spurred Tortoise,18
Common Water Monitor,18
Falcons,18
Java Rock Python,18
Lorises,18
Oceanic whitetip shark,18
Red-whiskered bulbul,18
Bay Lynx,17
Bearcat,17
Brahminy Kite,17
Ginseng,17
Silky shark,17
Brown Bear,16
Cumala,16
Douc,16
Greater Green Leafbird,16
Jagged-shelled Turtle,16
Siamang,16
Small Indian Civet,16
Asiatic Brush-tailed Porcupine,15
Common Warthog,15
Cougar,15
Deodar cedar,15
Indian rosewood,15
Narra,15
Otters,15
