species,class,count
huilca,Magnoliopsida,4
Cod and Haddocks,Actinopterygii,1
Saffron Finch,Aves,31
Llama,Mammalia,4
Ultramarine Grosbeak,Aves,13
White-headed Langur,Mammalia,1
Red-tailed Green Ratsnake,Reptilia,3
Atlantic goliath grouper,Actinopterygii,1
Bananaquit,Aves,1
Black Laughingthrush,Aves,1
Frogs,Amphibia,19
Ringed Warbling Finch,Aves,2
Florida Mud turtle,Reptilia,2
Brahminy Starling,Actinopterygii,1
Cumala,Magnoliopsida,16
Camels,Mammalia,5
Caimito,Magnoliopsida,4
Red-vented Bulbul,Aves,2
Bushbuck,Mammalia,13
Ribbed mussel,Bivalvia,8
Scaled Dove,Aves,1
Yellow-rumped Cacique,Aves,2
Black-backed Butcherbird,Aves,1
Red-billed Blue Magpie,Aves,2
Blue-crowned Chlorophonia,Aves,1
Four-eyed Turtle,Reptilia,4
Eurasian Red Squirrel,Mammalia,2
Pale-breasted Thrush,Aves,1
Dik-diks,Mammalia,26
Naga,Magnoliopsida,1
Sapote,Magnoliopsida,1
White-crested Laughing Thrush,Aves,6
Hog Badger,Mammalia,2
Yellow-vented bulbul,Aves,7
Swiftlet,Aves,2
Scarlet-backed Flowerpecker,Aves,1
Huayruro,Magnoliopsida,2
Mud crabs,Malacostraca,4
Porcupine,Mammalia,30
Cape rock lobster,Malacostraca,20
Horseshoe Crab,Merostomata,1
Mangium,Magnoliopsida,1
Great Tit,Aves,2
Chital,Mammalia,36
White-naped Jay,Aves,1
Gemsbok,Mammalia,7
Megalodon,Chondrichthyes,1
Greater short-toed Lark,Aves,1
Okan,Magnoliopsida,3
Lesser Rhea,Aves,1
Wild Boar,Mammalia,86
Ipil,Magnoliopsida,1
Abbott's duiker,Mammalia,1
Sulawesi Myna,Aves,1
Common Linnet,Aves,2
Australian Water Dragon,Reptilia,2
Cranwell's horned frog,Amphibia,2
Bluntnose Sixgill Shark,Elasmobranchii,1
Grey Partridge,Aves,4
Snakes,Reptilia,7
Indigo Bunting,Aves,4
Wildebeests,Mammalia,55
Sal Tree,Magnoliopsida,14
Ashy Bulbul,Aves,1
Van Hasselt's Sunbird,Aves,3
European greenfinch,Aves,6
Samar Water Monitor,Reptilia,1
Natal Duiker,Mammalia,4
Angelim De Mata,Magnoliopsida,1
Steenbok,Mammalia,3
Waterbuck,Mammalia,12
North Sulawesi Babirusa,Mammalia,2
Capybara,Mammalia,2
Island Collared Dove,Aves,1
Faveira ferro,Magnoliopsida,3
Black-throated Laughingthrush,Aves,2
Banteng,Mammalia,4
Grey Bamboo Shark,Elasmobranchii,1
Lirio,Magnoliopsida,2
Sea Anemones,Anthozoa,1
Rainbow stag beetle,Insecta,1
Collie's Squirrel,Mammalia,1
Zebra Dove,Aves,4
White-eared brown dove,Aves,2
Cuban grassquit,Aves,4
White-necked Myna,Aves,2
Gaboon Adder,Reptilia,4
Giant Bluetongue Skink,Reptilia,3
Southern Savanna Buffalo,Mammalia,1
Black-striped Sparrow,Aves,1
Black-bellied Slider,Reptilia,1
Guitarfishes,Elasmobranchii,3
Brown-cheeked Bulbul,Aves,3
Blue Grosbeak,Aves,4
Narrow-breasted Snake-necked Turtle,Reptilia,1
Ridgehead Snake,Reptilia,1
Peterebi,Magnoliopsida,1
Chilean Sea Urchin,Echinoidea,6
Aviu shrimp,Malacostraca,1
Weber's Sailfin Lizard,Reptilia,1
Painted Stork,Aves,1
Greater Green Leafbird,Aves,16
Black Mamba,Reptilia,1
Common Snapping Turtle,Reptilia,4
Meranti,Magnoliopsida,36
Benguet pine,Pinopsida,1
Crested Porcupine,Mammalia,1
Cuban Bullfinch,Aves,2
Jackfruit,Magnoliopsida,3
Common Warthog,Mammalia,15
Whistling green pigeon,Aves,1
Topi,Mammalia,4
Red King Crab,Malacostraca,1
Blue-masked Leafbird,Aves,3
Ornate Spiny Lobster,Malacostraca,9
Ornate Wrasse,Actinopterygii,1
Giant Ibis,Aves,2
Abalone,Gastropoda,124
Bigleaf Maple,Magnoliopsida,1
Big-Headed Turtle,Reptilia,19
White-lipped Mud Turtle,Reptilia,2
Iroko,Magnoliopsida,5
African Puff Adder,Reptilia,2
Many-colored Rush Tyrant,Aves,1
Malayan Tiger,Mammalia,3
Ruby-cheeked Sunbird,Aves,1
Catahua,Magnoliopsida,1
Bharal,Mammalia,3
Keledang,Magnoliopsida,1
Hoary Bamboo Rat,Mammalia,3
Greenbottle blue,Arachnida,1
Star Finch,Aves,1
Golden-fronted Leafbird,Aves,1
Golden Pheasant,Aves,3
Water Buffalo,Mammalia,4
Octopus,Cephalopoda,2
Eastern blue-tongued lizard,Reptilia,1
Cardinals,Aves,5
Mahi-Mahi,Actinopterygii,4
Red-headed barbet,Aves,1
Sea fan,Anthozoa,8
Asiatic Brush-tailed Porcupine,Mammalia,15
Sumatran Orangutan,Mammalia,9
Yellow-faced Grassquit,Aves,2
Sunbird,Aves,10
Asiatic Toad,Amphibia,1
Massaranduba,Magnoliopsida,9
Tokay Gecko,Reptilia,40
Ring-tail Cat,Mammalia,1
Stingrays,Elasmobranchii,5
Lesser Whistling Duck,Aves,7
Wandering Whistling Duck,Aves,2
Indian Swiftlet,Aves,1
Chestnut-backed Scimitar Shrike,Aves,2
Pacu,Actinopterygii,3
Rubberwood,Magnoliopsida,2
Scalloped Spiny Lobster,Malacostraca,10
Hawfinch,Aves,2
Common Chaffinch,Aves,3
Plains Zebra,Mammalia,30
Chilean common Hake,Actinopterygii,1
Wenge,Magnoliopsida,1
Blue-winged Leafbird,Aves,8
Ilomba,Magnoliopsida,2
Narrow-bridged Musk Turtle,Reptilia,2
Sapelli,Magnoliopsida,3
Oceanic whitetip shark,Elasmobranchii,18
Reach Kol,Magnoliopsida,1
Hog Deer,Mammalia,6
Zebra Finch,Aves,1
Vietnamese Box turtle,Reptilia,2
Striped Mud Turtle,Reptilia,1
Guanaco,Mammalia,8
American Wigeon,Aves,1
Northern Red Snapper,Actinopterygii,1
Puerto Rican Oriole,Aves,1
Mexican Rosewood,Magnoliopsida,1
Indian Crested Porcupine,Mammalia,1
Large-billed Crow,Aves,2
Common Pochard,Aves,1
Sable,Mammalia,2
Great-billed Seed Finch,Aves,2
Brown Basilisk,Reptilia,2
Fujian Cypress,Pinopsida,5
Mulungu,Magnoliopsida,1
European Hare,Mammalia,1
Bengal Tiger,Mammalia,68
