ENFORCEMENT_SPACE_CODE,LOCATION_DESCRIPTION,SITE_CODE,ACTIVE_STATUS,CAMERA_STATUS,START_DATE,END_DATE,DEVICE_MOBILITY,ENFORCEMENT_TYPE,SPEED_LIMIT,CAMERA_LATITUDE,CAMERA_LONGITUDE,CAMERA_EASTING,CAMERA_NORTHING,OBJECTID,GLOBALID,WARD,ANC,SMD
ATE 0136,2200 BLK 18TH ST NW N/B,8314,Retired,Idle,2014/09/28 04:00:00+00,,,Speed,25,,,,,151491,{27076D15-FBF8-778E-E063-782F520A63DA},,,
ATE 0137,2200 BLK BRANCH AVE SE N/B,1752,Active,Live,2023/11/02 04:00:00+00,,Portable,Speed,25,38.862688,-76.959222,403539.27659924,132763.31214311,151492,{27076D15-FBF9-778E-E063-782F520A63DA},7.0,7B,7B02
ATE 0138,2200 BLK BRANCH AVE SE S/B,1753,Active,Live,2023/11/25 05:00:00+00,,Portable,Speed,25,38.862688,-76.959222,403539.27659924,132763.31214311,151493,{27076D15-FBFA-778E-E063-782F520A63DA},7.0,7B,7B02
ATE 0139,2200 BLK FRANKLIN ST NE W/B,9589,Retired,Idle,2023/01/09 05:00:00+00,,,Speed,25,,,,,151494,{27076D15-FBFB-778E-E063-782F520A63DA},,,
ATE 0140,2200 BLK GEORGIA AVE NW S/B,1113,Active,Live,2023/12/18 05:00:00+00,,Portable,Speed,25,38.919602,-77.021999,398092.43259478,139080.65092924,151495,{27076D15-FBFC-778E-E063-782F520A63DA},1.0,1E,1E07
ATE 0141,2200 BLK IRVING ST SE W/B,1804,Active,Live,2024/03/25 04:00:00+00,,,Speed,20,38.85308,-76.9731,402335.13016428,131696.30870053,151496,{27076D15-FBFD-778E-E063-782F520A63DA},8.0,8B,8B03
ATE 0142,2200 BLK K ST NW W/B,1201,Active,Live,2024/03/14 04:00:00+00,,,Speed,25,38.902529,-77.051539,395529.65365262,137186.43982007,151497,{27076D15-FBFE-778E-E063-782F520A63DA},2.0,2A,2A09
ATE 0143,2200 BLK RHODE ISLAND AVE NE NE/B,8523,Retired,Idle,2015/05/17 04:00:00+00,,,Speed,30,,,,,151498,{27076D15-FBFF-778E-E063-782F520A63DA},,,
ATE 0144,2200 BLK SOUTH DAKOTA AVE NE SE/B,1524,Active,Live,2024/04/06 04:00:00+00,,,Speed,25,38.91989,-76.95756,403680.56835285,139113.24685955,151499,{27076D15-FC00-778E-E063-782F520A63DA},5.0,5C,5C04
ATE 0145,2200 BLK K ST NW E/B,1202,Active,Live,2024/03/22 04:00:00+00,,,Speed,25,38.902529,-77.048516,395791.87096627,137186.29611522,151500,{27076D15-FC01-778E-E063-782F520A63DA},2.0,2A,2A08
ATE 0147,2300 BLK ALABAMA AVE SE NE/B,1815,Active,Live,2023/11/25 05:00:00+00,,Portable,Speed,25,38.851324,-76.972388,402396.99135951,131501.39872512,151501,{27076D15-FC02-778E-E063-782F520A63DA},8.0,8B,8B03
ATE 0148,2300 BLK ALABAMA AVE SE SW/B,1814,Active,Live,2023/11/25 05:00:00+00,,Portable,Speed,25,38.851113,-76.972981,402345.52409255,131477.96083465,151742,{27076D15-FC03-778E-E063-782F520A63DA},8.0,8E,8E02
ATE 0150,2300 BLK MARION BARRY AVE SE NW/B,1758,Active,Live,2024/01/11 05:00:00+00,,,Speed,25,38.858375,-76.968175,402762.41968514,132284.22899618,151743,{27076D15-FC04-778E-E063-782F520A63DA},8.0,8B,8B02
ATE 0151,2300 BLK N CAPITOL ST NE N/B,9517,Retired,Idle,2022/02/09 05:00:00+00,,,Speed,25,,,,,151744,{27076D15-FC05-778E-E063-782F520A63DA},,,
ATE 0152,2300 BLK OF PORTER ST NW E/B,9220,Retired,Idle,2012/09/14 04:00:00+00,,,Speed,30,,,,,151745,{27076D15-FC06-778E-E063-782F520A63DA},,,
ATE 0154,2400 BLK 18TH ST NE S/B,1502,Active,Live,2023/09/06 04:00:00+00,,,Speed,25,38.92244,-76.97912,401810.82784951,139395.66994137,151746,{27076D15-FC07-778E-E063-782F520A63DA},5.0,5C,5C06
ATE 0155,2400 BLK BENNING RD NE NW/B,1529,Active,Live,2024/01/23 05:00:00+00,,Fixed,Speed,25,38.89812,-76.97109,402508.01670772,136696.14052632,151747,{27076D15-FC08-778E-E063-782F520A63DA},5.0,5D,5D09
ATE 0156,2400 BLK QUEENS CHAPEL RD NE NW/B,8597,Retired,Idle,2019/10/25 04:00:00+00,,,Truck Restriction,25,,,,,151748,{27076D15-FC09-778E-E063-782F520A63DA},,,
ATE 0158,2400 BLK WISCONSIN AVE NW N/B,1313,Active,Live,2023/12/18 05:00:00+00,,Fixed,Speed,25,38.9212,-77.07199,393757.35306127,139260.27413371,151749,{27076D15-FC0A-778E-E063-782F520A63DA},3.0,3B,3B02
ATE 0159,2400 BLK WISCONSIN AVE NW S/B,1314,Active,Live,2023/12/18 05:00:00+00,,Fixed,Speed,25,38.92191,-77.07264,393701.04905214,139339.13474647,151750,{27076D15-FC0B-778E-E063-782F520A63DA},3.0,3B,3B02
ATE 0160,2500 BLK BENNING RD NE SE/B,1528,Active,Live,2024/01/23 05:00:00+00,,Fixed,Speed,30,38.89793,-76.97122,402496.74635991,136675.04545308,151751,{27076D15-FC0C-778E-E063-782F520A63DA},7.0,7D,7D05
ATE 0161,2500 BLK FIRTH STERLING AVE SE W/B,1816,Active,Live,2023/12/30 05:00:00+00,,Fixed,Speed,25,38.86204,-76.99882,400102.59816036,132690.58972523,151752,{27076D15-FC0D-778E-E063-782F520A63DA},8.0,8C,8C01
ATE 0162,2500 BLK GEORGIA AVE NW S/B,1114,Active,Live,2024/07/28 04:00:00+00,,,Speed,30,38.92271,-77.02294,398010.91577375,139425.68517969,151753,{27076D15-FC0E-778E-E063-782F520A63DA},1.0,1E,1E06
ATE 0164,2500 BLK MARTIN LUTHER KING AVE SE n/b,1811,Active,Live,2024/03/26 04:00:00+00,,,Speed,25,38.86095,-76.99424,400500.10402282,132569.60692069,151754,{27076D15-FC0F-778E-E063-782F520A63DA},8.0,8A,8A06
ATE 0165,2500 BLK NAYLOR RD SE N/B,9704,Retired,Idle,2017/05/04 04:00:00+00,,,Speed,25,,,,,151755,{27076D15-FC10-778E-E063-782F520A63DA},,,
ATE 0166,2500 BLK NORTH CAPITOL ST NE N/B,1532,Active,Live,2023/12/18 05:00:00+00,,,Speed,25,38.92186,-77.00894,399224.93375037,139331.11599269,151756,{27076D15-FC11-778E-E063-782F520A63DA},5.0,5E,5E06
ATE 0167,5700 BLK MACARTHUR BLVD NW S/B,8209,Retired,Idle,2021/07/16 04:00:00+00,,,Speed,30,,,,,151757,{27076D15-FC12-778E-E063-782F520A63DA},,,
ATE 0168,2500 BLK SHERIDAN ROAD SE N/B,1821,Active,Live,2024/02/09 05:00:00+00,,Portable,Speed,25,38.859095,-76.993329,400579.18596945,132363.69389966,151758,{27076D15-FC13-778E-E063-782F520A63DA},8.0,8B,8B04
ATE 0169,2500 BLK SHERIDAN ROAD SE S/B,1822,Active,Live,2024/03/30 04:00:00+00,,Portable,Speed,25,38.860563,-76.993698,400547.14788951,132526.65022602,151759,{27076D15-FC14-778E-E063-782F520A63DA},8.0,8B,8B04
ATE 0170,2500 BLK SOUTHERN AVE SE NE/B,1818,Active,Live,2023/12/30 05:00:00+00,,Fixed,Speed,30,38.84646,-76.96888,402701.68045066,130961.55855225,151760,{27076D15-FC15-778E-E063-782F520A63DA},8.0,8E,8E01
ATE 0171,2600 BLK GEORGIA AVE NW N/B,1115,Active,Live,2023/12/18 05:00:00+00,,Portable,Speed,30,38.924202,-77.0224,398057.78318116,139591.29818064,151761,{27076D15-FC16-778E-E063-782F520A63DA},1.0,1E,1E05
ATE 0173,2600 BLK LINCOLN RD NE N/B,1512,Active,Live,2024/03/30 04:00:00+00,,,Speed,25,38.92302,-77.0036,399688.00902504,139459.85397681,151762,{27076D15-FC17-778E-E063-782F520A63DA},5.0,5F,5F04
ATE 0175,2600 BLK WISCONSIN AVE NW N/B,1305,Active,Live,2024/03/06 05:00:00+00,,,Speed,25,38.92379,-77.07316,393656.12337697,139547.8665882,151763,{27076D15-FC18-778E-E063-782F520A63DA},3.0,3C,3C08
ATE 0176,2600 BLK WISCONSIN AVE NW S/B,1301,Active,Live,2023/09/06 04:00:00+00,,,Speed,25,38.92456,-77.07329,393644.91906703,139633.35213575,151764,{27076D15-FC19-778E-E063-782F520A63DA},3.0,3B,3B01
