Id,Model,Price,Age,KM,HP,Metallic,Automatic,CC,Doors,Gears,Weight
1,TOYOTA Corolla 1800 T SPORT VVT I 2/3-Doors,21500,27,19700,192,0,0,1800,3,5,1185
2,TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 2/3-Doors,20950,25,31461,192,0,0,1800,3,6,1185
3,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT BNS 2/3-Doors,19950,22,43610,192,0,0,1800,3,6,1185
4,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,19600,25,32189,192,0,0,1800,3,6,1185
5,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,21500,31,23000,192,1,0,1800,3,6,1185
6,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22500,32,34131,192,1,0,1800,3,6,1185
7,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22000,28,18739,192,0,0,1800,3,6,1185
8,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22750,30,34000,192,1,0,1800,3,5,1185
9,TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 2/3-Doors,17950,24,21716,110,1,0,1600,3,5,1105
10,TOYOTA Corolla 1.6 16v L.SOL 2/3-Doors,16750,24,25563,110,0,0,1600,3,5,1065
11,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,16950,30,64359,110,1,0,1600,3,5,1105
12,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,15950,30,67660,110,1,0,1600,3,5,1105
13,TOYOTA Corolla 1.6 16V VVT I 3DR SOL AUT4 2/3-Doors,16950,29,43905,110,0,1,1600,3,5,1170
14,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,28,56349,110,1,0,1600,3,5,1120
15,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,32220,110,1,0,1600,3,5,1120
16,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16250,29,25813,110,1,0,1600,3,5,1120
17,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,25,28450,110,1,0,1600,3,5,1120
18,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17495,27,34545,110,1,0,1600,3,5,1120
19,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15750,29,41415,110,1,0,1600,3,5,1120
20,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,44142,110,0,0,1600,3,5,1120
21,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17950,30,11090,110,1,0,1600,3,5,1120
22,TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,12950,29,9750,97,1,0,1400,3,5,1100
23,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,22,35199,97,1,0,1400,3,5,1100
24,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,27,29510,97,1,0,1400,3,5,1100
25,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,14950,26,32692,97,1,0,1400,3,5,1100
26,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15500,22,41000,97,1,0,1400,3,5,1100
27,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,26,43000,97,0,0,1400,3,5,1100
28,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,25,25000,97,0,0,1400,3,5,1100
29,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,14950,23,10000,97,1,0,1400,3,5,1100
30,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,15750,32,25329,97,1,0,1400,3,5,1100
31,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,14750,27,27500,97,0,0,1400,3,5,1100
32,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,49059,97,0,0,1400,3,5,1100
33,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,16750,27,44068,97,1,0,1400,3,5,1100
34,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,46961,97,0,0,1400,3,5,1100
35,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15800,22,75048,97,1,0,1400,5,5,1110
36,TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,21950,31,64982,192,1,0,1800,5,6,1195
37,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15750,30,57086,97,1,0,1400,5,5,1110
38,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,20500,26,56000,110,1,1,1600,5,5,1180
39,TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors,21950,27,49866,192,1,0,1800,5,5,1195
40,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors,15500,25,49163,110,0,1,1600,5,5,1165
41,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13250,32,45725,110,1,0,1600,5,5,1075
42,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15250,28,43210,97,0,0,1400,5,5,1110
43,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15250,26,43000,97,0,0,1400,5,5,1110
44,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,18950,23,39704,110,1,1,1600,5,5,1180
45,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,15999,30,38950,110,1,0,1600,5,5,1130
46,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,37400,97,1,0,1400,5,5,1110
47,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16500,27,37177,110,0,0,1600,5,5,1130
48,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,36544,110,1,0,1600,5,5,1130
49,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17950,30,33511,110,1,0,1600,5,5,1130
50,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17950,27,32809,97,1,0,1400,5,5,1110
51,TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors,16950,26,32181,110,1,0,1600,5,5,1075
52,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,30993,110,1,0,1600,5,5,1130
53,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,30400,97,1,0,1400,5,5,1110
54,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,25,29719,97,1,0,1400,5,5,1110
55,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,28,29206,97,1,0,1400,5,5,1110
56,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,12995,32,29198,97,1,0,1400,5,5,1060
57,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,28817,110,1,0,1598,5,5,1130
58,TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15750,23,28227,97,1,0,1400,5,5,1110
59,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,28,28000,110,0,0,1600,5,5,1130
60,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16950,23,28000,110,1,0,1600,5,5,1115
61,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,25266,110,1,0,1600,5,5,1130
62,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,18450,27,23489,110,0,0,1600,5,5,1115
63,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16895,29,22575,110,1,0,1600,5,5,1115
64,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,14900,30,22000,97,1,0,1400,5,5,1110
65,TOYOTA Corolla 1.6 5drs 1 4/5-Doors,18950,25,20019,110,1,1,16000,5,5,1180
66,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,17250,29,20000,110,1,0,1600,5,5,1115
67,TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15450,25,17003,97,1,0,1400,5,5,1110
68,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,17950,31,16238,110,1,1,1600,5,5,1180
69,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16650,25,15414,97,1,0,1400,5,5,1110
70,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17450,28,8537,110,1,0,1600,5,5,1130
71,TOYOTA Corolla 1.4 VVTI  (Nw type) 4/5-Doors,14900,30,7000,97,1,0,1400,5,5,1100
72,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,51884,97,1,0,1400,3,5,1100
73,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16450,20,48110,97,1,0,1400,3,5,1100
74,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,20,33329,97,1,0,1400,3,5,1100
75,TOYOTA Corolla 1.6 16v VVT-i Linea Sol 2/3-Doors,18900,20,31850,110,0,0,1600,3,5,1120
76,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,29435,97,1,0,1400,3,5,1100
77,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,25948,97,1,0,1400,3,5,1100
78,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18750,11,24500,110,1,0,1600,3,5,1120
79,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17450,18,23902,97,1,0,1400,3,5,1100
80,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18990,20,23175,110,1,0,1600,3,5,1120
81,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16250,19,19200,97,1,0,1400,3,5,1100
82,TOYOTA Corolla 1.4 VVT-i Sol 2/3-Doors,18500,13,18000,71,0,0,1400,3,5,1125
83,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,18500,11,16123,110,1,0,1600,3,5,1105
84,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMF AUT 2/3-Doors,19450,11,14635,110,1,1,1600,3,5,1155
85,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16950,19,13748,97,1,0,1400,3,5,1100
86,TOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 2/3-Doors,18800,14,11500,110,1,0,1600,3,5,1045
87,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,17450,17,10000,97,1,0,1400,3,5,1100
88,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17950,20,7187,110,1,0,1600,3,5,1105
89,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17900,7,1,110,1,0,1600,3,5,1105
90,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,13,57037,110,0,0,1600,5,5,1115
91,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16350,14,40010,110,1,0,1600,5,5,1115
92,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,20,39115,110,1,0,1600,5,5,1130
93,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16950,17,36012,110,0,0,1600,5,5,1130
94,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,16,36000,110,1,0,1600,5,5,1130
95,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,15950,20,36000,110,1,0,1600,5,5,1075
96,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,35000,97,1,0,1400,5,5,1110
97,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,17950,17,33740,97,1,0,1400,5,5,1135
98,TOYOTA Corolla 1.6 vvt-i nw model comfort airco 5drs 4/5-Doors,15850,13,33477,110,1,0,1600,5,5,1075
99,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,20,32627,97,1,0,1400,5,5,1110
100,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15950,20,29797,97,1,0,1400,5,5,1110
101,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,19,29441,97,1,0,1400,5,5,1110
102,TOYOTA Corolla 1 6-16v VVT-i Linea Terra Comfort Airco 5drs 4/5-Doors,15950,13,29371,110,1,0,1600,4,5,1105
103,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,29000,97,0,0,1400,5,5,1110
104,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,19,27821,97,0,0,1400,5,5,1110
105,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,18450,19,27371,97,0,0,1400,5,5,1135
106,TOYOTA Corolla 1.6 terra comfort 5drs airco 4/5-Doors,16250,13,25170,110,1,0,1600,5,5,1105
107,TOYOTA Corolla 1.6i 16V VVT I SOL + Navigatie 4/5-Doors,19900,20,23000,110,1,0,1600,5,5,1130
108,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16450,20,22588,97,1,0,1400,5,5,1110
109,TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 4/5-Doors,23950,19,21684,192,1,0,1800,5,5,1185
110,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,13,21428,110,1,0,1600,5,5,1130
111,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA COMF 4/5-Doors,18500,16,20629,110,1,0,1600,4,5,1090
112,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,15,20270,110,1,0,1600,5,5,1130
113,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,16450,16,20105,97,0,0,1400,5,5,1110
114,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMF AUT 4/5-Doors,20500,20,20000,110,0,1,1600,5,5,1165
115,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC BNS 4/5-Doors,24500,13,19988,110,1,0,1600,5,5,1130
116,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19450,19,18328,110,0,0,1600,5,5,1130
117,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL AUT4 4/5-Doors,20950,14,17896,110,1,1,1600,4,5,1150
118,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17200,20,17300,97,1,0,1400,5,5,1110
119,TOYOTA Corolla 1.6 16V VVT I 5DR SOL BNS 4/5-Doors,19950,19,17038,110,0,0,1600,5,5,1130
120,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA BNS 4/5-Doors,18450,10,13747,97,1,0,1400,5,5,1110
121,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19500,12,13634,110,1,0,1600,5,5,1115
122,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,13,13178,110,1,0,1600,5,5,1130
123,TOYOTA Corolla 1.4 16V VVT I SEDAN TERRA COMF 4/5-Doors,16868,15,13157,97,1,0,1400,4,5,1085
124,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,19500,16,13000,110,1,0,1600,4,5,1105
125,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18900,11,12500,110,1,0,1600,5,5,1115
126,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19750,17,11999,110,1,0,1600,5,5,1130
127,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,19750,16,11754,110,0,1,1600,5,5,1180
128,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,18950,16,11000,110,1,0,1600,4,5,1105
129,TOYOTA Corolla 1.6 16v VVTi Linea Sol 4/5-Doors,20750,17,10000,110,0,0,1598,5,5,1105
130,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19600,9,7650,110,1,0,1600,5,5,1115
131,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 4/5-Doors,19500,14,6500,110,1,0,1600,4,5,1100
132,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17650,11,6155,97,1,0,1400,5,5,1110
133,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,14,6000,110,0,0,1600,5,5,1130
134,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,19950,14,5459,110,1,0,1600,5,5,1130
135,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL BNS AUT4 4/5-Doors,20950,14,5278,110,1,1,1600,4,5,1150
136,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,20500,12,5000,110,1,0,1600,5,5,1130
137,TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,9,1,98,1,0,1400,4,5,1065
138,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort AIRCO NIEUW 5DRS 4/5-Doors,18245,9,1,110,1,0,1600,5,5,1075
139,TOYOTA Corolla 1.6-16v VVT-i Executive B.edition 4/5-Doors,23750,8,11000,110,1,0,1600,5,5,1130
140,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,19500,8,10077,97,1,0,1400,5,5,1110
141,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,18950,8,10000,97,1,0,1400,5,5,1110
142,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,9788,110,1,0,1600,5,5,1130
143,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,8,8574,110,1,0,1600,5,5,1130
144,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,8,7000,110,0,0,1600,5,5,1115
145,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,19950,7,6250,110,1,0,1600,5,5,1115
146,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,5000,110,1,0,1600,5,5,1130
147,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,22500,6,3000,110,0,0,1600,5,5,1130
148,TOYOTA Corolla 1.6 VVT-I 5DR LINEA TERRA 4/5-Doors,18500,7,2000,110,0,0,1600,5,5,1075
149,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18700,7,450,97,1,0,1400,5,5,1110
150,TOYOTA Corolla 1.4 16V 5DR TERRA 4/5-Doors,21125,2,225,97,1,0,1400,5,5,1110
151,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21500,2,15,110,1,0,1600,5,5,1130
152,TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,1,1,98,1,0,1400,4,5,1100
153,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort NIEUW AIRCO 5drs 4/5-Doors,18245,1,1,110,1,0,1600,5,5,1075
154,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,37,118217,110,1,0,1600,5,5,1075
155,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,42,105699,97,1,0,1400,3,5,1025
