"Date","FITLX","MKT","RF","SMB","HML","MOM","BAB","QMJ"
2023-01-03,-0.240082717808643,-0.46,0.02,-0.17,0.22,-1.58,0.44,-0.35
2023-01-04,0.601674476019465,0.92,0.02,0.64,0.14,-2.09,-0.09,-0.66
2023-01-05,-1.3157856773134,-1.09,0.02,0.21,1.32,1.16,0.79,0.46
2023-01-06,2.18182562399314,2.25,0.02,0.07,-0.02,-0.2,0.24,0.77
2023-01-09,0.118605918644787,0.09,0.02,0.39,-0.95,-1.72,-1.08,0.03
2023-01-10,0.710906785680021,0.76,0.02,0.81,-0.82,-0.65,-0.43,0.01
2023-01-11,1.35294553654421,1.23,0.02,-0.09,-0.87,-1.28,-0.93,0.23
2023-01-12,0.464303049294434,0.54,0.02,1.01,0.24,-0.17,-0.38,-0.56
2023-01-13,0.346623503155885,0.48,0.02,0.14,-0.38,-0.1,-0.31,-0.21
2023-01-17,-0.0575673261099086,-0.12,0.02,0.01,-0.54,-0.63,-0.3,-0.28
2023-01-18,-1.61290250867786,-1.5,0.02,0.16,-0.58,-0.33,-0.15,0.44
2023-01-19,-0.878227813435872,-0.79,0.02,-0.21,1.13,0.63,0.72,0.07
2023-01-20,2.12641018016182,1.92,0.02,-0.13,-0.91,-1.94,-0.77,0.03
2023-01-23,1.15672951067032,1.24,0.02,0.02,-1.16,-1.93,-1,-0.21
2023-01-24,-0.228689423588568,-0.13,0.02,-0.17,0.32,0.95,0.43,-0.11
2023-01-25,-0.0573144608819076,0.01,0.02,0.12,0.61,0.06,0.15,0.01
2023-01-26,1.08944435162555,1.09,0.02,-0.48,-0.34,-0.99,-0.47,0.06
2023-01-27,0.397061284603861,0.35,0.02,0.2,-1.11,-2.32,-1.13,-0.25
2023-01-30,-1.3559440292609,-1.33,0.02,0.08,0.65,1.06,0.82,0.09
2023-01-31,1.60366496416886,1.6,0.02,0.75,-0.26,-0.73,-0.54,0.11
2023-02-01,1.18377597440245,1.12,0.02,0.61,-1.97,-2.29,-1.11,0.14
2023-02-02,1.55987713453378,1.43,0.02,0.34,-2.33,-4.31,-1.78,0.08
2023-02-03,-1.1519363713057,-1.02,0.02,0.35,0.85,1.54,1.08,0.51
2023-02-06,-0.610441760187386,-0.73,0.02,-0.72,0.5,1.11,0.4,-0.2
2023-02-07,1.34003456561924,1.25,0.02,-0.34,-0.14,-0.62,-0.14,0.11
2023-02-08,-1.04683764958241,-1.11,0.02,-0.33,0.32,0.91,-0.07,-0.05
2023-02-09,-1.00221458480081,-0.91,0.02,-0.57,-0.08,0.76,0.26,0.16
2023-02-10,-0.0562398443777701,0.2,0.02,-0.32,1.76,2.22,0.82,0.33
2023-02-13,1.23803796447055,1.13,0.02,0.05,-1,-0.63,-0.25,0.53
2023-02-14,0.111166696843146,0.12,0.02,0.08,-0.68,-0.84,-0.87,-0.27
2023-02-15,0.277629562962733,0.47,0.02,0.52,-1.13,-1.23,-0.77,-0.82
2023-02-16,-1.49501902510596,-1.33,0.02,0.46,1,1.17,0.98,0.34
2023-02-17,-0.168635545687357,-0.29,0.02,0.36,0,0.17,0.47,-0.18
2023-02-21,-2.1959435416656,-2.11,0.02,-0.85,0.79,1.1,0.81,0.12
2023-02-22,-0.115134652219806,-0.04,0.02,0.32,-0.5,-0.48,-0.41,-0.03
2023-02-23,0.806904919994622,0.47,0.02,0.1,-0.25,0.1,-0.48,0.25
2023-02-24,-1.14350228231559,-0.97,0.02,0.08,1.17,1.08,0.59,-0.1
2023-02-27,0.462691804268123,0.33,0.02,0.08,-0.23,-0.06,-0.32,0.17
2023-02-28,-0.28785884873791,-0.26,0.02,0.33,-0.44,-0.2,-0.29,-0.29
2023-03-01,-0.461890419511657,-0.31,0.02,0.56,0.91,1.38,0.82,0.27
2023-03-02,0.928078686727862,0.67,0.02,-0.41,-0.43,0.04,0.13,0.18
2023-03-03,1.43677941032792,1.59,0.02,-0.23,-0.64,-0.8,-0.6,-0.06
2023-03-06,-0.056665009974044,-0.14,0.02,-1.37,-0.03,0.41,0.11,0.21
2023-03-07,-1.5872901273361,-1.46,0.02,0.38,-0.6,0.41,-0.06,0.25
2023-03-08,0.172801455507132,0.09,0.02,0,-0.46,-0.24,-0.31,0.31
2023-03-09,-1.89763690582266,-1.94,0.02,-0.63,-0.53,0.72,0.56,0.94
2023-03-10,-1.64126545656744,-1.66,0.02,-1.15,0.67,0.47,0.83,0.45
2023-03-13,-0.178785836371453,-0.36,0.02,-1.05,-2.72,-0.86,-0.66,0.32
2023-03-14,1.85074718340266,1.67,0.02,-0.02,-0.53,-0.27,-0.5,-0.22
2023-03-15,-0.468941066847428,-0.93,0.02,-0.81,-2.15,-1.81,-0.51,0.09
2023-03-16,2.06125922265796,1.77,0.02,-0.21,-0.43,-0.51,-0.66,-0.03
2023-03-17,-0.865547514420872,-1.21,0.02,-0.88,-1.07,-0.56,-0.09,0.49
2023-03-20,0.582073510662662,0.91,0.02,0.01,0.88,1.22,0.7,0.34
2023-03-21,1.388878652515,1.46,0.02,0.31,0.28,-0.62,-0.9,-0.33
2023-03-22,-1.59817291247585,-1.66,0.02,-0.62,-0.24,0.16,0.2,0.74
2023-03-23,0.522046359946371,0.21,0.02,-0.48,-1.45,-0.65,-0.69,0.26
2023-03-24,0.461623856393101,0.44,0.02,0.03,0.5,-0.18,0.47,-0.22
2023-03-27,0.057435064406075,0.37,0.02,0.57,1.06,0.94,0.4,-0.35
2023-03-28,-0.229619459110975,-0.09,0.02,0.2,0.85,0.55,0.65,-0.01
2023-03-29,1.43843284907785,1.39,0.02,-0.29,-0.43,-0.75,-0.45,-0.27
2023-03-30,0.510497984265745,0.54,0.02,-0.4,-0.47,-0.39,-0.19,0.42
2023-03-31,1.63656507547523,1.51,0.02,0.3,-0.83,-0.57,-0.68,-0.11
2023-04-03,0.0555323411869368,0.38,0.02,-0.17,1.06,0.8,0.92,0.57
2023-04-04,-0.665932571703565,-0.7,0.02,-1,-0.59,-1.33,-0.08,-0.19
2023-04-05,-0.27932488132385,-0.39,0.02,-0.72,1.38,0.58,1.21,0.27
2023-04-06,0.560225391724289,0.32,0.02,-0.22,-0.46,-0.69,-0.23,-0.24
2023-04-10,0.111414420255329,0.24,0.02,0.84,0.24,0.41,-0.18,0.08
2023-04-11,-0.0556559515089816,0.16,0.02,0.71,0.68,-0.18,0.15,-0.06
