Date,Sales,Facebook,Pinterest,Twitter,Online_Display
9/1/21,570606,107019,69188,0,5468
9/2/21,660011,118857,69661,0,5373
9/3/21,416314,122417,13884,0,5524
9/4/21,443993,115249,41626,0,5380
9/5/21,757152,72823,119381,0,5229
9/6/21,641014,35275,109026,0,5189
9/7/21,497552,182666,34895,0,5342
9/8/21,424280,129261,50980,0,5411
9/9/21,420641,124795,131622,0,5283
9/10/21,763325,185345,190504,9847,5415
9/11/21,602483,67183,46609,14230,5129
9/12/21,426836,19458,149171,17414,5183
9/13/21,437287,119067,110679,10788,5395
9/14/21,458270,112549,125670,7281,5568
9/15/21,533739,98840,103037,10956,5393
9/16/21,580588,58655,199016,11096,5568
9/17/21,512656,63333,61705,13502,5355
9/18/21,690451,115534,22225,9416,5267
9/19/21,456715,61451,144142,18119,5239
9/20/21,708546,12227,40488,6631,5440
9/21/21,745637,64320,147638,8240,5090
9/22/21,902538,134252,114194,15933,5670
9/23/21,773183,72602,0,15560,5334
9/24/21,726331,117877,0,9792,5313
9/25/21,826583,140264,0,10499,5435
9/26/21,909692,18865,0,17995,5198
9/27/21,812206,191255,0,16221,5043
9/28/21,957789,126271,0,18782,5155
9/29/21,766497,124076,0,7360,5366
9/30/21,888855,63120,0,5868,5461
10/1/21,581931,197095,0,7879,5353
10/2/21,785404,189917,0,15282,5187
10/3/21,654736,40256,0,7286,5586
10/4/21,887138,183131,0,19518,5194
10/5/21,954696,166296,0,11640,5183
10/6/21,904489,122993,0,6790,5411
10/7/21,665551,180249,0,5736,5546
10/8/21,570193,129885,0,8747,5322
10/9/21,986069,24078,0,7202,5300
10/10/21,868828,196135,0,12808,5520
10/11/21,628749,181712,0,20078,5517
10/12/21,699139,42101,0,15909,5539
10/13/21,525848,45702,0,18177,5326
10/14/21,723087,94963,0,18773,5508
10/15/21,795228,60119,0,15943,5174
10/16/21,717111,15422,0,5657,5445
10/17/21,763602,192906,0,15150,5583
10/18/21,656144,194401,0,19428,5268
10/19/21,900285,33404,0,9641,5405
10/20/21,665744,13198,0,16882,5500
10/21/21,841248,178491,0,10116,5306
10/22/21,570314,28233,0,18824,5289
10/23/21,848832,87735,0,18380,5519
10/24/21,954227,94629,0,19735,5537
10/25/21,581152,41684,0,8309,5608
10/26/21,526337,110754,0,9975,5193
10/27/21,522793,111289,0,17940,5481
10/28/21,702793,30882,0,14306,5572
10/29/21,837533,18780,0,6791,5545
10/30/21,559929,120810,0,6239,5324
10/31/21,600845,90583,0,6103,5173
11/1/21,700587,41436,0,19879,5150
11/2/21,805280,90082,0,11817,5597
11/3/21,853516,132716,0,18391,5131
11/4/21,995040,5477,0,9815,5288
11/5/21,998946,113223,0,13521,5140
11/6/21,923476,127054,0,11777,5169
11/7/21,661537,71002,0,8450,5084
11/8/21,723107,189622,0,19392,5216
11/9/21,797045,100844,0,5827,5396
11/10/21,602699,100855,0,18520,5309
11/11/21,846995,190159,0,10331,5463
11/12/21,522625,165136,0,0,5466
11/13/21,478292,180060,0,0,5359
11/14/21,566084,187447,0,0,5379
11/15/21,507286,101520,0,0,5158
11/16/21,665374,139747,0,0,5519
11/17/21,715191,196204,0,0,5454
11/18/21,715785,57783,0,0,5500
11/19/21,588001,140224,0,0,5250
11/20/21,481748,122856,0,0,5357
11/21/21,754519,182322,0,0,5158
11/22/21,678213,195433,0,0,5265
11/23/21,580591,73942,0,0,5571
11/24/21,602992,153126,0,0,5622
11/25/21,847794,173873,0,0,5483
11/26/21,728902,113886,0,0,5034
11/27/21,841028,43987,0,0,5290
11/28/21,593145,69770,0,0,5395
11/29/21,785071,141522,0,0,5550
11/30/21,632822,96898,0,0,5556
12/1/21,556125,149534,0,0,5495
12/2/21,522659,111909,0,0,5030
12/3/21,430875,5556,0,0,5396
12/4/21,753869,182071,0,0,5171
12/5/21,708871,32048,0,0,5374
12/6/21,460461,188153,0,0,5501
12/7/21,595535,119200,0,0,5394
12/8/21,794993,152414,0,0,5453
12/9/21,813430,7204,0,0,5080
12/10/21,557239,73220,0,0,5251
12/11/21,591094,8836,0,0,5248
12/12/21,462349,122463,0,0,5593
12/13/21,651003,79616,0,0,5554
12/14/21,647518,107967,0,0,5419
12/15/21,425715,39995,0,0,5138
12/16/21,622372,65627,0,0,5136
12/17/21,730276,133612,0,0,5327
12/18/21,789215,81930,0,0,5118
12/19/21,751905,159774,0,0,5632
12/20/21,795788,28008,0,0,5480
12/21/21,426937,83534,0,0,5494
12/22/21,637840,18555,0,0,5605
12/23/21,777025,11513,0,0,5402
12/24/21,448615,101744,0,0,5266
12/25/21,439362,123483,0,0,5275
12/26/21,715037,61289,0,0,5126
12/27/21,722990,116255,0,0,5369
12/28/21,671025,181598,0,0,5457
12/29/21,457763,64850,0,0,5464
12/30/21,676363,120038,0,0,5561
12/31/21,810001,84483,0,0,5217
1/1/22,443256,156960,0,0,5252
1/2/22,483083,48776,0,0,5681
1/3/22,760589,27437,0,0,5407
1/4/22,436613,23053,0,0,5496
1/5/22,570086,138067,0,0,5139
1/6/22,562593,77691,0,0,5287
1/7/22,556640,61396,0,0,5244
1/8/22,549717,116165,0,0,5237
1/9/22,542981,181730,0,0,5072
1/10/22,535546,64803,0,0,5049
1/11/22,529003,120100,0,0,5041
1/12/22,522446,84594,0,0,5015
1/13/22,515180,156891,0,0,5147
1/14/22,508399,48618,0,0,5023
