"Mkt.RF" "SMB" "HML" "QMJ" "BAB" "RF" "Mom" "Time_Dim"
"1" -0.26 -0.9 0.94 -0.35 0.6 0.02 -1.17 1995-01-03
"2" 0.33 -0.15 0.47 0.29 0.11 0.02 -0.56 1995-01-04
"3" -0.05 0.06 0.07 -0.15 0 0.02 -0.39 1995-01-05
"4" 0.18 0.02 0.12 -0.29 -0.06 0.02 0 1995-01-06
"5" 0.08 0.03 0.14 -0.31 -0.38 0.02 -0.3 1995-01-09
"6" 0.2 0.01 -0.15 -0.32 -0.35 0.02 0.59 1995-01-10
"7" -0.09 -0.18 -0.24 0.04 -0.1 0.02 0.07 1995-01-11
"8" 0.01 0.03 0.02 -0.28 -0.17 0.02 0.1 1995-01-12
"9" 0.87 -0.33 0.48 0.08 -0.05 0.02 -0.03 1995-01-13
"10" 0.8 -0.42 0.09 -0.07 -0.39 0.02 -0.01 1995-01-16
"11" 0.22 0.37 -0.44 0.16 -0.02 0.02 0.18 1995-01-17
"12" -0.15 -0.03 0.03 -0.15 0.26 0.02 0.09 1995-01-18
"13" -0.57 0.09 -0.13 0.2 0.16 0.02 0.09 1995-01-19
"14" -0.51 0.15 0.17 0.2 0.22 0.02 0.44 1995-01-20
"15" 0 -0.66 0.24 0.33 0.07 0.02 0.02 1995-01-23
"16" 0.16 0.28 -0.1 -0.11 -0.24 0.02 0.19 1995-01-24
"17" 0.2 -0.34 0.41 0.16 0.24 0.02 -0.39 1995-01-25
"18" 0.04 -0.28 0.13 0.12 -0.01 0.02 0.13 1995-01-26
"19" 0.39 -0.29 0.15 0.29 -0.34 0.02 -0.03 1995-01-27
"20" -0.45 -0.33 0.25 0.26 -0.27 0.02 -0.19 1995-01-30
"21" 0.39 -0.2 -0.06 0.02 -0.03 0.02 0.23 1995-01-31
"22" 0.15 -0.02 0 -0.39 -0.2 0.021 -0.34 1995-02-01
"23" 0.44 0.03 -0.21 0.22 -0.18 0.021 0.01 1995-02-02
"24" 1.22 -0.63 0.46 -0.28 -0.31 0.021 0.04 1995-02-03
"25" 0.61 0.01 -0.19 0.3 -0.22 0.021 -0.05 1995-02-06
"26" -0.07 0.18 0.15 -0.16 0.33 0.021 -0.01 1995-02-07
"27" 0.13 0.18 -0.12 -0.15 -0.35 0.021 0.12 1995-02-08
"28" -0.09 0.43 -0.31 -0.05 -0.2 0.021 -0.16 1995-02-09
"29" 0.23 0.24 -0.31 0.43 0.07 0.021 -0.16 1995-02-10
"30" 0.02 0.02 0.08 0.12 0.32 0.021 -0.1 1995-02-13
"31" 0.09 -0.24 0.37 0.01 0.05 0.021 0.12 1995-02-14
"32" 0.48 0.23 0.03 -0.05 -0.05 0.021 -0.12 1995-02-15
"33" -0.05 -0.5 -0.12 -0.01 -0.03 0.021 0.37 1995-02-16
"34" -0.58 0.09 0.29 -0.22 0.31 0.021 -0.09 1995-02-17
"35" -0.05 -0.29 0.31 -0.05 0.34 0.021 -0.07 1995-02-21
"36" 0.4 -0.34 0.11 0.28 -0.19 0.021 -0.14 1995-02-22
"37" 0.45 -0.14 0.31 0.15 -0.17 0.021 0.16 1995-02-23
"38" 0.16 0.14 0.22 0.23 0.05 0.021 0.09 1995-02-24
"39" -0.82 -0.02 0.12 0.02 0.24 0.021 0.4 1995-02-27
"40" 0.82 0.15 -0.2 0.25 -0.15 0.021 -0.27 1995-02-28
"41" -0.31 0.19 -0.23 0.04 -0.34 0.02 0.31 1995-03-01
"42" -0.14 0.17 -0.41 0.07 -0.14 0.02 0.14 1995-03-02
"43" 0.14 0.15 -0.28 -0.17 0.02 0.02 0.24 1995-03-03
"44" -0.13 -0.21 -0.28 0.09 0.14 0.02 0.56 1995-03-06
"45" -0.75 0.16 -0.3 0.32 0.07 0.02 -0.11 1995-03-07
"46" 0.21 0.01 -0.06 -0.2 0.09 0.02 0.02 1995-03-08
"47" 0.05 -0.05 -0.17 0 0.11 0.02 0.12 1995-03-09
"48" 1.12 -0.69 -0.37 0.13 -0.15 0.02 -0.19 1995-03-10
"49" 0.09 -0.03 -0.17 -0.31 0 0.02 0.07 1995-03-13
"50" 0.56 -0.13 -0.29 0.43 -0.26 0.02 0.44 1995-03-14
"51" -0.17 0.18 0.27 0.13 -0.09 0.02 -0.12 1995-03-15
"52" 0.56 -0.31 0.01 -0.07 0.04 0.02 0.03 1995-03-16
